"方向","代码","名称","订单价格","订单数量","订单金额","交易状态","已成交@均价","下单时间","类型","期限","盘前竞价","时段","触发价","允许开仓","市场","币种","订单来源","成交数量","成交价格","成交金额","成交时间","市场","币种","对手经纪","备注","佣金","平台使用费","交收费","印花税","交易费","证监会征费","财汇局征费","交易活动费","期权监管费","期权清算费","期权交收费","合计费用"
"","","","","","","","","","","","","","","","","","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","5","145.71","728.55","2026/02/04 22:59:13 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","ORCL","甲骨文","150.84","30","4,525.20","全部成交","30@150.84","2026/02/04 10:43:58 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","150.84","4,525.20","2026/02/04 10:43:59 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","2.08"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","69.67","100","6,967.00","全部成交","100@69.73","2026/02/04 10:42:56 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","69.73","6,973.00","2026/02/04 10:42:56 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","66.47","100","6,647.00","全部成交","100@66.47","2026/02/03 10:00:21 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","66.47","6,647.00","2026/02/03 10:00:22 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SNDK","闪迪","654.71","20","13,094.20","全部成交","20@654.71","2026/02/02 10:25:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","654.71","13,094.20","2026/02/02 10:38:12 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖空","SNDK","闪迪","655.01","20","13,100.20","全部成交","20@655.625","2026/02/02 10:25:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","655.625","13,112.50","2026/02/02 10:25:06 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.01","","","","2.06"
"买入","SQQQ","三倍做空纳指ETF-ProShares","64.70","100","6,470.00","全部成交","100@64.6989","2026/02/02 10:17:22 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","95","64.6989","6,146.40","2026/02/02 10:17:23 (美东)","美股","USD","","","0.99","1","0.31","","","","","","","","","2.3"
"","","","","","","","","","","","","","","","","","","5","64.6989","323.49","2026/02/02 10:17:23 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","SNDK","闪迪","642.39","20","12,847.80","全部成交","20@642.39","2026/02/02 10:16:34 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","20","642.39","12,847.80","2026/02/02 10:16:35 (美东)","美股","USD","","","0.99","1","0.06","","","","","","","","","2.05"
"卖空","SNDK","闪迪","648.40","20","12,968.00","全部成交","20@648.98","2026/02/02 10:11:25 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","19","649.00","12,331.00","2026/02/02 10:11:25 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.02","","","","2.07"
"","","","","","","","","","","","","","","","","","","1","648.60","648.60","2026/02/02 10:11:25 (美东)","美股","USD","","","","","","","","","","","","","",""
"买入","SNDK260206P620000","SNDK 260206 620.00P","27.00","1","2,700.00","已撤单","0@0.00","2026/02/02 09:40:06 (美东)","限价单","当日有效","","","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","68.54","100","6,854.00","已撤单","0@0.00","2026/02/02 09:21:33 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","","","","","","","","","","","","","","","","","","","",""
"买入","SQQQ","三倍做空纳指ETF-ProShares","67.42","100","6,742.00","全部成交","100@67.42","2026/02/02 09:19:43 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","86","67.42","5,798.12","2026/02/02 09:21:03 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"","","","","","","","","","","","","","","","","","","14","67.42","943.88","2026/02/02 09:21:03 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","SQQQ","三倍做空纳指ETF-ProShares","65.22","100","6,522.00","全部成交","100@65.22","2026/01/30 11:33:10 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","65.22","6,522.00","2026/01/30 11:33:19 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","SQQQ","三倍做空纳指ETF-ProShares","64.63","100","6,463.00","全部成交","100@64.63","2026/01/30 07:05:14 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","64.63","6,463.00","2026/01/30 07:05:30 (美东)","美股","USD","","","0.99","1","0.3","","","","","","","","","2.29"
"卖出","BABA","阿里巴巴","171.75","30","5,152.50","全部成交","30@171.75","2026/01/29 10:25:12 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","171.75","5,152.50","2026/01/29 10:55:27 (美东)","美股","USD","","","0.99","1","0.09","","","","","0.01","","","","2.09"
"买入","BABA","阿里巴巴","175.97","30","5,279.10","全部成交","30@175.947","2026/01/29 10:24:45 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","175.947","5,278.41","2026/01/29 10:24:45 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","2.08"
"卖出","BABA","阿里巴巴","177.33","30","5,319.90","全部成交","30@177.33","2026/01/29 10:08:36 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","30","177.33","5,319.90","2026/01/29 10:08:36 (美东)","美股","USD","","","0.99","1","0.09","","","","","0.01","","","","2.09"
"卖出","SQQQ","三倍做空纳指ETF-ProShares","65.26","100","6,526.00","全部成交","100@65.2617","2026/01/29 10:06:06 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","100","65.2617","6,526.17","2026/01/29 10:06:06 (美东)","美股","USD","","","0.99","1","0.3","","","","","0.02","","","","2.31"
"买入","BABA","阿里巴巴","176.67","30","5,300.10","全部成交","30@176.67","2026/01/28 21:45:15 (美东)","限价单","当日有效","","全时段","","","美股","USD","","20","176.67","3,533.40","2026/01/28 21:46:23 (美东)","美股","USD","","","0.99","1","0.09","","","","","","","","","2.08"
"","","","","","","","","","","","","","","","","","","10","176.67","1,766.70","2026/01/28 21:46:04 (美东)","美股","USD","","","","","","","","","","","","","",""
"卖出","CEG","Constellation Energy","287.70","20","5,754.00","全部成交","20@287.70","2026/01/28 10:51:09 (美东)","限价单","当日有效","","盘前+盘中+盘后","","","美股","USD","","19","287.70","5,466.30","2026/01/28 10:51:41 (美东)","美股","USD","","","0.99","1","0.06","","","","","0.02","","","","2.07"
